Vendor Code,Master SKU,SKU,Channel,Channel SKU,Identifier,Status (Active / Inactive)
204-QMQ,IM190469Q Pink Unicorn Top-Skirt 7,Q Pink Unicorn Top-Skirt 7,Amazon,Q Pink Unicorn Top-Skirt 7,B0D9NX8S32,Active
204-QMQ,IM168326Blur Lining Suit Dark Green-3,Blur Lining Suit Dark Green-3,Amazon,Blur Lining Suit Dark Green-3,B0CRVD9NXB,Active
204-QMQ,IM190376Q Bubble Top & Short PINK 2,Q Bubble Top & Short PINK 2,Amazon,Q Bubble Top & Short PINK 2,B0D9Y5GFNR,Active
204-QMQ,IM168391Ice-Cream Top and Skirt Light Green 6,Ice-Cream Top and Skirt Light Green 6,Amazon,Ice-Cream Top and Skirt Light Green 6,B0CSFMQTMR,Active
204-QMQ,IM168378H BLZ COLLER YELLOW 4,H BLZ COLLER YELLOW 4,Amazon,H BLZ COLLER YELLOW 4,B0BVR3ZLGB,Active
204-QMQ,IM190497Q NO 1 MICKEY RED 4,Q NO 1 MICKEY RED 4,Amazon,Q NO 1 MICKEY RED 4,B0D9W4L24Q,Active
204-QMQ,IM168392Ice-Cream Top and Skirt Light Green 7,Ice-Cream Top and Skirt Light Green 7,Amazon,Ice-Cream Top and Skirt Light Green 7,B0CSF9QTL7,Active
204-QMQ,IM168322Blur Lining Suit Blue-3,Blur Lining Suit Blue-3,Amazon,Blur Lining Suit Blue-3,B0CRV89M86,Active
204-QMQ,IM168408King Hoodie t-shirt Yellow 2,King Hoodie t-shirt Yellow 2,Amazon,King Hoodie t-shirt Yellow 2,B0CR6MYLN2,Active
204-QMQ,IM190461Q Ice-Cream Top and Skirt Pink 8,Q Ice-Cream Top and Skirt Pink 8,Amazon,Q Ice-Cream Top and Skirt Pink 8,B0D9NYL5XP,Active
204-QMQ,IM168360Girls Leather skirt Brown-Velvet Red 7,Girls Leather skirt Brown-Velvet Red 7,Amazon,Girls Leather skirt Brown-Velvet Red 7,B0CQCCW2M2,Active
